index;title;type;year;rating;imdb_score;rotten_score;decade;imdb_bucket;genres_Action_Adventure;genres_Animation;genres_Anime;genres_Biography;genres_Children;genres_Comedy;genres_Crime;genres_Cult;genres_Documentary;genres_Drama;genres_Family;genres_Fantasy;genres_Food;genres_Game Show;genres_History;genres_Home_Garden;genres_Horror;genres_Independent;genres_LGBTQ;genres_Musical;genres_Mystery;genres_Reality;genres_Romance;genres_Science_Fiction;genres_Sport;genres_Stand_up_Talk;genres_Thriller;genres_Travel;platforms_acorntv;platforms_adult_swim_tveverywhere;platforms_amazon_prime;platforms_amc;platforms_amc_premiere;platforms_bbc_america_tve;platforms_britbox;platforms_cartoon_network;platforms_cbs_all_access;platforms_cinemax;platforms_comedycentral_tveverywhere;platforms_criterion_channel;platforms_crunchyroll_premium;platforms_curiositystream;platforms_dc_universe;platforms_epix;platforms_fandor;platforms_free;platforms_fubo_tv;platforms_funimation;platforms_hbo;platforms_hbo_max;platforms_hoopla;platforms_hulu_plus;platforms_kanopy;platforms_nbc_tveverywhere;platforms_netflix;platforms_shoutfactorytv;platforms_showtime;platforms_shudder;platforms_starz;platforms_sundancenow;platforms_syfy_tveverywhere;platforms_tbs;platforms_tnt;platforms_trutv_tveverywhere;platforms_urbanmoviechannel;platforms_velocity_go;platforms_watch_tcm
0;Game of Thrones;TV;2011;R/TV-MA;93;890;2010-2019;9.01-9.50;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Rick and Morty;TV;2013;R/TV-MA;92;940;2010-2019;9.01-9.50;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;The Lord of the Rings: The Fellowship of the Ring;Movies;2001;PG-13/TV-14;88;910;2000-2009;8.51-9.00;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Fight Club;Movies;1999;R/TV-MA;88;790;1990-1999;8.51-9.00;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;The Lord of the Rings: The Two Towers;Movies;2002;PG-13/TV-14;87;950;2000-2009;8.51-9.00;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;The Lord of the Rings: The Return of the King;Movies;2003;PG-13/TV-14;89;930;2000-2009;8.51-9.00;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Spirited Away;Movies;2001;PG/TV-PG;86;970;2000-2009;8.51-9.00;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Alien;Movies;1979;R/TV-MA;84;940;1970-1979;8.01-8.50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Chernobyl;TV;2019;R/TV-MA;94;960;2010-2019;9.01-9.50;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Good Will Hunting;Movies;1997;R/TV-MA;83;970;1990-1999;8.01-8.50;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
